# Time-averaged data for fix OUT2
# TimeStep v_vT v_rho v_ent
766000 1971.38 6.75546 -4.40745
767000 1945.3 6.75659 -4.42121
768000 1953.34 6.75874 -4.40483
769000 1954.82 6.75614 -4.42149
770000 1945.2 6.75519 -4.41643
771000 1944.62 6.76134 -4.40643
772000 1951.41 6.75701 -4.41043
773000 1950.99 6.75936 -4.41545
774000 1933.31 6.75748 -4.42212
775000 1953 6.76363 -4.40839
776000 1944.82 6.76498 -4.41337
777000 1930.03 6.75822 -4.41865
778000 1953.4 6.75938 -4.41686
779000 1942.55 6.76967 -4.40881
780000 1948.11 6.75472 -4.41714
781000 1941.59 6.76591 -4.4138
782000 1933.46 6.76143 -4.41551
783000 1935.66 6.76086 -4.42457
784000 1939.2 6.7614 -4.41188
785000 1931.86 6.76609 -4.41791
786000 1940.06 6.75795 -4.42528
787000 1937.42 6.76317 -4.41593
788000 1926.16 6.76103 -4.43027
789000 1932.31 6.76448 -4.4255
790000 1927.06 6.76844 -4.41432
791000 1927.14 6.7607 -4.4303
792000 1929.83 6.77161 -4.41974
793000 1924.83 6.77714 -4.41037
794000 1928.77 6.76137 -4.42779
795000 1916.17 6.76968 -4.42029
796000 1924.66 6.77137 -4.42016
797000 1924.68 6.76792 -4.42638
798000 1924.43 6.77501 -4.41579
799000 1922.09 6.77386 -4.41448
800000 1920.35 6.76965 -4.42189
801000 1920.16 6.77704 -4.42145
802000 1917.16 6.77733 -4.41249
803000 1919.98 6.76935 -4.42867
804000 1913.43 6.76244 -4.43584
805000 1913.03 6.77495 -4.41998
806000 1918.57 6.77303 -4.42565
807000 1924.8 6.77019 -4.43088
808000 1913.02 6.77264 -4.42906
809000 1911.41 6.77286 -4.4201
810000 1910.49 6.77947 -4.42386
811000 1903.51 6.77407 -4.42395
812000 1904.48 6.77814 -4.4285
813000 1903.99 6.77543 -4.43187
814000 1907.29 6.78083 -4.4207
815000 1902.46 6.77352 -4.43353
816000 1898.09 6.78103 -4.42798
817000 1900.03 6.78142 -4.42176
818000 1909.79 6.77928 -4.42901
819000 1905.19 6.77765 -4.42983
820000 1904.87 6.78014 -4.42617
821000 1893.4 6.77996 -4.43302
822000 1906.15 6.77608 -4.43781
823000 1898.68 6.78389 -4.42985
824000 1889.71 6.7848 -4.43147
825000 1884.52 6.7824 -4.43905
826000 1898.72 6.78285 -4.43039
827000 1883.6 6.78727 -4.42318
828000 1892.47 6.7867 -4.42593
829000 1891.89 6.78146 -4.43689
830000 1884.52 6.7789 -4.44022
831000 1886.81 6.79075 -4.42503
832000 1892.31 6.78401 -4.43288
833000 1879.75 6.78404 -4.43488
834000 1883.04 6.7848 -4.43661
835000 1894.71 6.78978 -4.43085
836000 1884.62 6.79119 -4.43719
837000 1888.89 6.78698 -4.43849
838000 1888.14 6.78739 -4.43807
839000 1880.55 6.78505 -4.43485
840000 1881.24 6.79005 -4.4345
841000 1885.92 6.78257 -4.4422
842000 1877.4 6.78981 -4.43667
843000 1873.2 6.79572 -4.43291
844000 1871.51 6.78104 -4.4505
845000 1884 6.78525 -4.43977
846000 1871.57 6.79073 -4.43574
847000 1872.49 6.80055 -4.43512
848000 1869.01 6.78854 -4.44301
849000 1872.53 6.7885 -4.447
850000 1872.29 6.79203 -4.44203
851000 1866.29 6.79264 -4.44863
852000 1877.05 6.78998 -4.44492
853000 1864.67 6.79451 -4.4377
854000 1867.24 6.78981 -4.4449
855000 1863.89 6.78922 -4.44957
856000 1871.33 6.79198 -4.45002
857000 1873.7 6.79861 -4.43062
858000 1856.74 6.79115 -4.44797
859000 1851.63 6.79737 -4.44565
860000 1863.97 6.7984 -4.43955
861000 1852.54 6.79663 -4.44284
862000 1852.23 6.78948 -4.45354
863000 1858.18 6.79665 -4.44751
864000 1859.71 6.80337 -4.43736
865000 1847.87 6.7992 -4.45233
866000 1859.9 6.79482 -4.45413
867000 1860.87 6.80541 -4.44451
868000 1857.27 6.79443 -4.45295
869000 1855.6 6.79601 -4.44905
870000 1855.64 6.80465 -4.44324
871000 1843.52 6.79915 -4.45059
872000 1841.42 6.80288 -4.45413
873000 1847.17 6.80254 -4.44801
874000 1852.59 6.80571 -4.4458
875000 1852.78 6.80502 -4.44837
876000 1838.59 6.80354 -4.45588
877000 1851.39 6.79585 -4.46289
878000 1847.13 6.80527 -4.45333
879000 1842 6.81033 -4.44783
880000 1844.8 6.80512 -4.45855
881000 1831.75 6.80594 -4.45592
882000 1839.91 6.81188 -4.45068
883000 1836.18 6.80937 -4.44826
884000 1830.97 6.80704 -4.45234
885000 1836.16 6.80052 -4.46469
886000 1830.31 6.80971 -4.44881
887000 1836.58 6.80514 -4.45671
888000 1820.17 6.80357 -4.46345
889000 1830.75 6.80674 -4.45756
890000 1832.86 6.80371 -4.45661
891000 1825.29 6.80872 -4.45266
892000 1827.57 6.80347 -4.4667
893000 1829.37 6.81166 -4.45554
894000 1831.26 6.81512 -4.45191
895000 1829.38 6.80452 -4.45871
896000 1824.32 6.80544 -4.46572
897000 1829.15 6.80679 -4.4588
898000 1827.8 6.81285 -4.45927
899000 1824.36 6.81449 -4.45579
900000 1825.3 6.81297 -4.46108
901000 1814.78 6.81218 -4.4621
902000 1822.43 6.81332 -4.45926
903000 1829.75 6.81354 -4.45646
904000 1810.38 6.81182 -4.46581
905000 1815.53 6.80759 -4.46911
906000 1820.77 6.81521 -4.46371
907000 1817.56 6.81452 -4.45784
908000 1813.42 6.8172 -4.46496
909000 1807.45 6.81337 -4.46601
910000 1821.06 6.81752 -4.45675
911000 1796.07 6.81855 -4.46078
912000 1808.04 6.81155 -4.46939
913000 1803.51 6.82209 -4.45032
914000 1792.95 6.81519 -4.47724
915000 1805.96 6.82199 -4.4573
916000 1802.22 6.82335 -4.46279
917000 1806.42 6.81915 -4.46589
918000 1805.45 6.81507 -4.47074
919000 1805.24 6.82425 -4.45845
920000 1790.31 6.81556 -4.48192
921000 1802.89 6.82455 -4.46224
922000 1783.52 6.82804 -4.46679
923000 1795.26 6.82386 -4.46481
924000 1793.06 6.81373 -4.47927
925000 1795.53 6.82463 -4.46835
926000 1792.75 6.82079 -4.47438
927000 1788.28 6.82591 -4.46231
928000 1789.62 6.81932 -4.47537
929000 1805.43 6.82699 -4.45891
930000 1781.96 6.82351 -4.47405
931000 1795.18 6.83036 -4.46366
932000 1776.09 6.82709 -4.47722
933000 1793.08 6.82173 -4.47753
934000 1790.21 6.82677 -4.47457
935000 1788.4 6.82934 -4.46967
936000 1787.68 6.83196 -4.47126
937000 1782.71 6.82421 -4.48371
938000 1781.14 6.8329 -4.46957
